page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect
25,Bolo de baunilha -Oetker®*,392.3,32.26,23.2,9.61,,False
25,Bolo de baunilha -Royal®*,341.7,51.33,13.7,6.33,,False
25,Bolo de baunilha -Sol®*,265.0,36.03,10.02,7.54,,False
26,Bolo de baunilha recheado com doce de,340.0,55.83,,9.52,,False
26,Bolo de cenoura com cobertura de,372.65,50.51,17.83,4.12,,False
26,Bolo de chocolate,358.49,52.44,14.76,5.36,,False
26,Bolo de chocolate -Octker®*,399.4,35.84,23.78,8.8,,False
26,Bolo de chocolate -Pullman®,377.0,64.0,10.49,6.6,,False
26,Bolo de chocolate -Royal®*,336.7,48.0,17.0,7.0,,False
26,Bolo de chocolate -Sadia®*,259.0,33.3,11.5,5.7,,False
26,"Bolo de chocolate ""brownie"" -Royal®*",375.0,60.0,13.9,6.39,,False
26,Bolo de chocolate recheio creme,340.0,55.83,8.21,9.52,,False
26,Bolo de coco -Oetker®*,397.7,36.29,23.46,8.68,,False
26,Bolo de coco -Pullman®,372.0,61.7,11.1,6.35,,False
26,Bolo de coco -Royal®*,346.6,50.83,14.5,6.33,,False
26,Bolo de coco -Sol®*,265.0,36.03,10.02,7.54,,False
26,Bolo de festa -Sol®*,265.0,36.03,10.02,7.54,,False
26,Bolo de festa (recheio de pêssego e,320.14,53.65,10.12,5.06,0.7,False
27,"4:;,.1I K 0,25H O, I IJ2",0.265,0.101,,4.94,,False
27,"II<IIU de l'ubú-Sndltt®'""",311.9,34.34,15.89,8.02,,False
27,Bolo de laranja -Oetker®*,397.7,36.29,23.46,8.67,,False
27,Bolo de laranja -Royal®*,341.7,51.33,13.7,6.33,,False
27,Bolo de laranja Pullman®,372.0,61.0,0.7,6.35,,False
27,Bolo de maçã e canela -Royal®*,350.8,48.92,16.0,5.85,,False
27,"Bolo de milho -Oetker®* 371, 30",31.69,23.36,,7.49,,False
27,"Bolo de milho -Royal®* 341 ,60 5 I ,00",13.7,,,6.67,,False
27,Bolo doce de abobrinha,330.45,45.84,14.93,4.53,1.79,False
27,Bolo frappé coco e chocolate,375.0,62.0,,6.46,,False
27,Bomba de chocolate,156.43,13.1,,4.04,0.58,False
27,Bombom Alpino chocolate ao leite,568.0,54.6,35.8,6.9,,False
27,Bombom Amandita carinho-Lacta®,535.7,64.28,28.57,5.36,,False
27,Bombom Bowling-Lacta®,534.9,59.53,29.3,8.37,0.46,False
27,Bombom Chockito-Nestlé®,442.0,73.7,14.1,5.0,,False
28,Bombom Chomp -Nestlé®,523.0,57.64,28.82,7.64,,False
28,Bombom Crocante -Lacta®,530.0,62.0,28.0,8.0,,False
28,Bombom Fricote -Lacta®,480.0,64.67,23.33,4.0,0.66,False
28,Bombom Hawaí -Nestlé®,436.0,74.3,13.5,4.3,,False
28,Bombom Lord -Lacta®,440.0,74.0,14.0,4.0,,False
28,"Bombom Noblesse -Nestlé® 561 ,00",54.4,34.9,,7.3,,False
28,Bombom Ouro Branco -Lacta®,530.2,59.07,28.84,8.84,0.46,False
28,Bombom Sedução -Nestlé®,550.0,55.5,33.5,6.0,,False
28,Bombom Sonho de Valsa-Lacta®,534.9,61.86,28.84,6.98,0.46,False
28,Braço sem capa de gordura (cru),250.9,0.0,13.09,31.09,0.0,False
28,Brigadeirão,298.77,35.03,15.95,6.3,0.66,False
28,Brigadeiro,362.5,55.91,13.77,7.1,0.95,False
28,Brigadeiro -Moça Fiesta Nestlé®,336.0,52.6,10.5,7.8,,False
28,Brócolis (cozido),28.0,5.07,0.35,2.99,3.0,False
28,Brócolis (cru),28.0,5.25,0.35,2.99,3.0,False
29,"(),()()",0.0,15.15,9.09,3.94,2.42,False
29,Broto de bambu (cru),27.0,5.21,0.3,2.61,2.2,False
29,Broto de feijão (cozido) 1,21.0,4.2,0.09,2.04,0.8,False
29,Broto de feijão (cru),30.0,5.94,0.18,3.05,1.8,False
29,Buchada de bode,1129.07,4.85,7.66,9.79,0.33,True
29,Cacau em pó -Garoto®,406.0,51.7,11.0,25.0,21.7,False
29,Cachorro quente completo (I salsicha),301.83,20.57,21.63,7.46,1.49,False
29,Cachorro quente completo (2 salsichas),304.1,,18.38,7.93,1.3,False
29,Café com açúcar (infusão),37.21,9.08,0.01,0.3,0.0,False
29,Café em pó,41.0,13.4,1.7,5.0,0.0,False
29,"Café instantâneo em pó 1241, 00 41, lO",0.5,0.2,0.04,12.2,0.0,False
29,Café sem açúcar (infusão),6.5,1.11,0.01,0.33,0.0,False
29,Café solúvel granulado -Nescafé,199.0,35.3,0.2,14.0,,False
29,Caipirinha,218.15,26.93,0.09,0.33,0.83,False
29,Caju I,46.0,11.6,0.2,0.8,1.5,False
30,Cajuzinho -Moça Fiesta Nestlé®,364.0,47.6,15.0,9.7,,False
30,Calda de caramelo -Moça Fiesta 3 I,4.0,73.7,1.5,1.4,,False
