page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
79,Óleo de girassol -Becel®,900.0,,100.0,,,False,"Óleo, de girassol",0.667
79,Óleo de milho,884.0,0.0,,0.0,0.0,False,"Óleo, de milho",1.0
79,Óleo de milho -Mazola®,900.0,,100.0,,,False,"Óleo, de milho",0.667
79,Óleo de soja,884.0,0.0,,0.0,0.0,False,"Óleo, de soja",1.0
79,Óleo de soja -Liza®,828.0,,92.0,,,False,"Óleo, de soja",0.667
79,Omelete simples,171.44,,15.0,11.72,0.0,False,Omelete simples,1.0
81,Óleo de canola -Purilev®,720.0,,100.0,,,False,"Óleo, de canola",0.667
81,Óleo de girassol,884.0,0.0,,0.0,0.0,False,"Óleo, de girassol",1.0
81,Óleo de girassol -8ecel®,900.0,,100.0,,,False,"Óleo, de girassol",0.667
81,Óleo de milho,884.0,0.0,,0.0,0.0,False,"Óleo, de milho",1.0
81,Óleo de soja,884.0,0.0,,0.0,0.0,False,"Óleo, de soja",1.0
81,Óleo de soja -Liza®,828.0,,92.0,,,False,"Óleo, de soja",0.667
81,Omelete simples,171.44,1.15,12.97,11.72,0.0,False,Omelete simples,1.0
82,Ovo de galinha inteiro,149.0,1.23,10.0,12.5,0.0,False,"Ovo, de galinha, inteiro, cru",0.75
82,Palmito em conserva,18.0,3.7,0.1,1.6,0.4,False,"Palmito, juçara, em conserva",0.667
83,Pão de forma diet aveia -Pullman®,295.2,38.57,9.14,14.62,2.09,False,"Pão, aveia, forma",0.6
83,Pão de forma diet aveia -Wickbold®,244.0,46.0,0.8,12.2,3.5,False,"Pão, aveia, forma",0.6
83,Pão de forma glúten -Wickbold®,225.0,39.5,1.0,15.5,,False,"Pão, glúten, forma",0.75
84,Pão francês,285.6,56.8,2.55,9.42,2.8,False,"Pão, trigo, francês",0.667
85,Pastel de carne,300.49,33.91,10.85,15.31,1.47,False,"Pastel, de carne, cru",0.667
86,Patinho (carne bovina crua),185.19,0.0,6.92,28.73,0.0,False,"Carne, bovina, costela, crua",0.6
86,Peito de frango (cru),172.0,0.0,9.26,20.9,0.0,False,"Frango, peito, com pele, cru",0.75
86,Peito de frango cru sem pele,110.0,0.0,1.25,23.1,0.0,False,"Frango, peito, com pele, cru",1.0
87,Peru inteiro cru com pele,145.0,0.0,6.9,20.6,0.0,False,"Frango, inteiro, com pele, cru",0.6
87,Peru inteiro cru sem pele,107.0,,2.2,21.9,,False,"Frango, inteiro, com pele, cru",0.6
87,Pescada (crua),217.38,7.87,11.29,20.04,0.44,False,"Pescada, branca, crua",0.667
87,Pescada frita,217.6,,11.3,20.06,0.44,False,"Pescada, branca, frita",0.667
88,Pimentão amarelo (cru),27.0,6.33,0.21,1.01,2.3,False,"Pimentão, amarelo, cru",1.0
88,Pimentão verde (cru),27.0,6.44,0.19,0.89,1.73,False,"Pimentão, verde, cru",1.0
88,Pimentão vermelho (cru),27.0,6.44,0.19,0.89,1.75,False,"Pimentão, vermelho, cru",1.0
88,Pinhão (cozido) I,70.5,5.8,,3.48,3.21,False,"Pinhão, cozido",0.667
90,Pimentão amarelo (cru),27.0,6.33,0.21,1.01,2.3,False,"Pimentão, amarelo, cru",1.0
90,Pimentão verde (cru),27.0,6.44,0.19,0.89,1.73,False,"Pimentão, verde, cru",1.0
90,Pimentão vermelho (cru),27.0,6.44,0.19,0.89,1.75,False,"Pimentão, vermelho, cru",1.0
90,Pinhão (cozido),170.5,5.8,18.3,3.48,3.21,False,"Pinhão, cozido",1.0
93,Pudim de leite condensado,216.1,,33.98,6.57,0.0,False,"Leite, condensado",0.667
94,"Queijo ""petit suisse"" Batavinho",162.2,18.14,6.33,,,False,"Queijo, petit suisse, morango",0.6
94,"Queijo ""petit suisse"" Chambinho com",157.7,19.0,,,,False,"Queijo, petit suisse, morango",0.6
94,"Queijo ""petit suisse"" Chambinho",157.0,19.5,5.8,,,False,"Queijo, petit suisse, morango",0.6
94,"Queijo ""petit suissc"" morango",157.7,19.11,6.0,,,False,"Queijo, petit suisse, morango",0.6
95,"Queijo ""petit suisse"" morango I",52.0,2.0,,,,False,"Queijo, petit suisse, morango",0.8
95,"Queijo ""petit suisse"" morango-Maxi I",57.0,,9.5,,,False,"Queijo, petit suisse, morango",0.667
96,Queijo tipo parmesão,392.0,3.23,25.8,35.8,0.0,False,"Queijo, parmesão",0.667
96,Queijo tipo prato,357.0,,0.44,25.0,0.0,False,"Queijo, prato",0.667
97,Quindim,273.34,45.58,8.67,4.73,0.78,False,Quindim,1.0
97,Rabanete (cru),17.0,3.6,0.54,0.6,1.0,False,"Rabanete, cru",1.0
97,Repolho branco (cru),25.0,5.44,0.27,1.45,2.03,False,"Repolho, branco, cru",1.0
98,Repolho roxo (cru),27.0,6.13,0.26,1.4,2.95,False,"Repolho, roxo, cru",1.0
100,Salame,250.0,2.26,,13.9,0.0,False,Salame,1.0
101,Sarapatel,201.57,3.71,16.3,10.37,3.72,False,Sarapatel,1.0
102,Sobrecoxa de frango (assada),237.78,0.38,14.82,24.05,0.06,False,"Frango, sobrecoxa, com pele, assada",0.75
102,Sobrecoxa de frango cozida sem pele,173.56,1.38,9.82,,,False,"Frango, coxa, sem pele, cozida",0.6
102,Sobrecoxa de frango sem pele assada,201.44,0.38,,24.82,0.06,False,"Frango, sobrecoxa, com pele, assada",1.0
112,Suco de laranja com acerola e açúcar,39.17,9.25,0.18,0.51,0.18,False,Suco de laranja sem açúcar,0.75
112,Suco de laranja com cenoura e açúcar,51.06,12.07,0.19,0.81,1.09,False,Suco de laranja sem açúcar,0.75
113,Suco de laranja sem açúcar,45.0,10.41,0.2,0.7,0.2,False,Suco de laranja sem açúcar,1.0
118,Torrada de pão francês,428.2,85.16,2.4,14.12,4.19,False,"Torrada, pão francês",1.0
119,Vagem (crua),31.0,7.15,0.12,1.83,3.4,False,"Vagem, crua",1.0
120,Virado à paulista,242.61,14.59,14.19,13.9,3.69,False,Virado à paulista,1.0
