taco_id,original,display
534,"Cuscuz, paulista",Cuscuz paulista
535,"Cuxá, molho",Cuxá molho
536,Dobradinha,Dobradinha
537,Estrogonofe de carne,Estrogonofe de carne
538,Estrogonofe de frango,Estrogonofe de frango
539,Feijão tropeiro mineiro,Feijão tropeiro mineiro
540,Feijoada,Feijoada
541,"Frango, com açafrão",Frango com açafrão
542,"Macarrão, molho bolognesa",Macarrão molho bolognesa
543,Maniçoba,Maniçoba
544,Quibebe,Quibebe
545,"Salada, de legumes, com maionese",Salada de legumes com maionese
546,"Salada, de legumes, cozida no vapor",Salada de legumes cozida no vapor
547,"Salpicão, de frango",Salpicão de frango
548,Sarapatel,Sarapatel
549,Tabule,Tabule
550,Tacacá,Tacacá
551,"Tapioca, com manteiga",Tapioca com manteiga
552,"Tucupi, com pimenta-de-cheiro",Tucupi com pimenta-de-cheiro
553,Vaca atolada,Vaca atolada
554,Vatapá,Vatapá
555,Virado à paulista,Virado à paulista
556,Yakisoba,Yakisoba
557,"Amendoim, grão, cru",Amendoim grão cru
558,"Amendoim, torrado, salgado",Amendoim torrado salgado
559,"Ervilha, em vagem",Ervilha em vagem
560,"Ervilha, enlatada, drenada",Ervilha enlatada drenada
561,"Feijão, carioca, cozido",Feijão carioca cozido
562,"Feijão, carioca, cru",Feijão carioca cru
563,"Feijão, fradinho, cozido",Feijão fradinho cozido
564,"Feijão, fradinho, cru",Feijão fradinho cru
565,"Feijão, jalo, cozido",Feijão jalo cozido
566,"Feijão, jalo, cru",Feijão jalo cru
567,"Feijão, preto, cozido",Feijão preto cozido
568,"Feijão, preto, cru",Feijão preto cru
569,"Feijão, rajado, cozido",Feijão rajado cozido
570,"Feijão, rajado, cru",Feijão rajado cru
571,"Feijão, rosinha, cozido",Feijão rosinha cozido
572,"Feijão, rosinha, cru",Feijão rosinha cru
573,"Feijão, roxo, cozido",Feijão roxo cozido
574,"Feijão, roxo, cru",Feijão roxo cru
575,"Grão-de-bico, cru",Grão-de-bico cru
576,"Guandu, cru",Guandu cru
577,"Lentilha, cozida",Lentilha cozida
578,"Lentilha, crua",Lentilha crua
579,"Paçoca, amendoim",Paçoca amendoim
580,"Pé-de-moleque, amendoim",Pé-de-moleque amendoim
581,"Soja, farinha",Soja farinha
582,"Soja, extrato solúvel, natural, fluido",Soja extrato solúvel natural fluido
583,"Soja, extrato solúvel, pó",Soja extrato solúvel pó
584,"Soja, queijo (tofu)",Soja queijo (tofu)
585,"Tremoço, cru",Tremoço cru
586,"Tremoço, em conserva",Tremoço em conserva
587,"Amêndoa, torrada, salgada",Amêndoa torrada salgada
588,"Castanha-de-caju, torrada, salgada",Castanha-de-caju torrada salgada
589,"Castanha-do-Brasil, crua",Castanha-do-Brasil crua
590,"Coco, cru",Coco cru
591,"Coco,  verde, cru",Coco verde cru
592,"Farinha, de mesocarpo de babaçu, crua",Farinha de mesocarpo de babaçu crua
593,"Gergelim, semente",Gergelim semente
594,"Linhaça, semente",Linhaça semente
595,"Pinhão, cozido",Pinhão cozido
596,"Pupunha, cozida",Pupunha cozida
597,"Noz, crua",Noz crua
