page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
35,Chocolate com leite e avelãs -Nesllé®,571.1,51.0,36.61,9.5,,False,"Chocolate, ao leite",0.4
36,Chocolate dietético -Pan®,524.4,43.95,31.7,15.83,,False,"Chocolate, ao leite, dietético",0.4
38,Churros com doce de leite,322.08,43.58,14.45,5.62,0.38,False,"Doce, de leite, cremoso",0.5
39,Cocada,370.0,56.82,17.07,1.7,4.79,False,Cocada branca,0.5
40,Contra filé (cru),297.82,0.0,21.19,24.99,0.0,False,"Merluza, filé, cru",0.5
40,Coração bovino (cru),121.0,0.0,6.0,16.8,0.0,False,"Frango, coração, cru",0.5
40,Coração de frango (cozido),185.0,0.1,7.93,26.4,0.0,False,"Frango, coração, cru",0.5
40,Costela com osso (crua),376.07,0.0,31.21,22.2,0.0,False,"Porco, costela, crua",0.5
40,Costelinha de porco (assada),290.87,2.86,21.0,20.81,0.49,False,"Porco, costela, assada",0.5
40,Couve de bruxelas (crua),43.0,8.97,0.3,3.39,4.95,False,"Couve, manteiga, crua",0.5
40,"Couve refogada 117, li",9.05,8.78,5.02,2.81,2.58,False,"Couve, manteiga, refogada",0.4
41,Coxa de frango frita,243.27,0.86,15.95,22.68,0.2,False,"Coxinha de frango, frita",0.5
41,"Coxa de frango inteira (crua) 21 I ,00",0.0,15.3,3.32,17.3,0.0,False,"Frango, coxa, com pele, crua",0.375
41,Coxa de frango sem pele tubelle light •,79.2,,0.6,,,False,"Frango, coxa, com pele, assada",0.5
41,Coxão duro (cru),220.35,0.0,9.43,31.65,0.0,False,"Carne, bovina, coxão duro, sem gordura, cru",0.5
41,Coxão mole (cru),230.7,0.0,9.58,33.76,0.0,False,"Carne, bovina, coxão mole, sem gordura, cru",0.5
42,Creme de arroz Colombo®,353.0,79.7,0.6,7.2,,False,"Creme de arroz, pó",0.5
42,Creme de arroz cozido,52.0,,0.5,0.9,0.1,False,"Arroz, integral, cozido",0.5
42,Creme de leite light-Glória®,196.0,5.2,18.0,3.3,,False,Creme de Leite,0.5
42,Creme de leite light -Nestlé®,166.0,4.6,15.0,3.1,,False,Creme de Leite,0.5
42,Creme de leite light -Parmalat®,171.0,5.5,15.0,3.5,,False,Creme de Leite,0.5
43,Creme Dessert leite moça -Nestlé®,219.0,14.8,15.9,4.4,,False,Creme de Leite,0.4
44,Cupuaçu,72.0,14.7,1.6,1.7,0.5,False,"Cupuaçu, cru",0.5
44,Danette doce de leite -Danone®,139.0,22.4,3.4,4.5,,False,"Doce, de leite, cremoso",0.4
