page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
23,Biscoito leite Divertido -São Luíz,464.0,70.9,16.2,,,False,Creme de Leite,0.167
23,Biscoito leite Passatempo -São Luíz,464.0,70.9,16.2,,,False,Creme de Leite,0.167
23,Biscoito maçã e canela -São Luíz,455.0,71.0,15.8,,,False,Biscoito de polvilho,0.167
23,Biscoito maizena -São Luíz Nestlé®,444.0,75.7,12.3,7.7,,False,Biscoito de polvilho,0.167
23,Biscoito maizena -Tostines Nestlé®,456.0,72.8,15.0,7.3,,False,Biscoito de polvilho,0.2
23,Biscoito Maria -São Luíz Nestlé®,444.0,75.9,12.0,8.2,,False,Maria mole,0.167
23,Biscoito Maria -Tostines Nestlé®,449.0,73.2,14.1,7.4,,False,Maria mole,0.2
23,"Uiscoito recheado doce de leite com 481 ,00 68, I O",22.2,,,,,False,"Doce, de leite, cremoso",0.222
24,Biscoito recheado Negresco -São Luíz,486.0,71.9,19.6,,,False,"Biscoito, doce, recheado com chocolate",0.286
24,Biscoito recheado Negresco coberto,485.0,61.9,,,,False,"Biscoito, doce, recheado com chocolate",0.333
24,Biscoito recheado Prestígio -São Luíz 4,70.0,66.1,,,,False,"Biscoito, doce, recheado com chocolate",0.25
24,Biscoito Ritz crackers reduced fat,466.7,73.33,13.33,,,False,Biscoito de polvilho,0.167
24,Biscoito Salclic aperitivo -São Luíz,478.0,59.7,22.8,,,False,Biscoito de polvilho,0.167
24,Biscoito suíço avelã -São Luíz Nestlé®,540.0,53.0,32.0,10.0,,False,Biscoito de polvilho,0.143
24,Biscoito suíço coberto com chocolate,515.0,62.0,27.0,,,False,"Biscoito, doce, recheado com chocolate",0.333
24,Biscoito suíço creme de avelã -São,559.0,52.0,35.0,,,False,Creme de Leite,0.167
24,Biscoito Surpresa fun -Tostines,465.0,69.5,17.1,,,False,Biscoito de polvilho,0.2
24,Biscoito tipo rosquinha chocolate,479.0,66.22,20.6,,,False,"Biscoito, doce, recheado com chocolate",0.333
24,"Biscoito tipo rosquinha coco -Tostines 491 ,00",66.1,,22.0,,,False,"Coco, água de",0.125
24,Biscoito tipo rosquinha leite -Tostines,482.0,68.3,20.0,,,False,Creme de Leite,0.167
24,Biscoito Tostei aperitivo -Tostines,439.0,68.0,13.9,,,False,Biscoito de polvilho,0.2
24,Biscoito Tostei tradicional-Tostines,443.0,64.4,15.5,,,False,Biscoito de polvilho,0.2
24,Biscoito tradicional-São Luíz Nestlé®,493.0,62.0,,7.2,,False,Biscoito de polvilho,0.167
25,"IIINcc,llo 'l'rii(~Y -Nuhlsco 4.12,00",64.0,16.0,,12.0,0.7,False,,0.0
25,Bisnaguinha -Panco®,316.0,58.6,5.06,9.04,2.64,False,,0.0
25,Bisnaguinha light -Panco®,218.2,45.07,0.28,8.84,8.16,False,,0.0
25,Blanquet de peru -Califórnia Sadia®,127.7,,4.89,19.43,,False,"Peru, congelado, assado",0.167
25,Bolinha de queijo,273.23,32.96,12.04,7.79,1.43,False,"Queijo, mozarela",0.333
25,Bolinho de chuva,270.03,42.39,8.31,6.11,1.39,False,Bolinho de arroz,0.333
25,Bolinrosa-Moça Fiesta Nestlé®,323.0,54.8,8.3,7.3,,False,,0.0
25,Bolo branco simples,317.82,55.21,8.36,5.94,1.39,False,Omelete simples,0.25
25,Bolo de abacaxi -Pullman®,372.0,61.7,11.1,6.35,,False,"Abacaxi, cru",0.25
25,Bolo de abacaxi -Sadia®*,281.4,29.6,15.17,6.58,,False,"Abacaxi, cru",0.25
25,Bolo de baunilha -Oetker®*,392.3,32.26,23.2,9.61,,False,Bolo sem glúten,0.25
